[12:22:54] [Low] [Telemetry] ALT: 0ft | SPD: 0kts | HDG: 360° | PITCH: 0.0°
[12:22:55] [Low] [Telemetry] ALT: 0ft | SPD: 5kts | HDG: 360° | PITCH: 0.0°
[12:22:56] [Low] [Telemetry] ALT: 0ft | SPD: 13kts | HDG: 360° | PITCH: 0.0°
[12:22:57] [Low] [Telemetry] ALT: 0ft | SPD: 12kts | HDG: 360° | PITCH: 0.0°
[12:22:58] [Low] [Telemetry] ALT: 0ft | SPD: 10kts | HDG: 360° | PITCH: 0.0°
[12:22:59] [Low] [Telemetry] ALT: 0ft | SPD: 8kts | HDG: 360° | PITCH: 0.0°
[12:23:00] [Low] [Telemetry] ALT: 0ft | SPD: 6kts | HDG: 360° | PITCH: 0.0°
[12:23:01] [Low] [Telemetry] ALT: 0ft | SPD: 5kts | HDG: 360° | PITCH: 0.0°
[12:23:02] [Low] [Telemetry] ALT: 0ft | SPD: 4kts | HDG: 360° | PITCH: 0.0°
[12:23:03] [Low] [Telemetry] ALT: 0ft | SPD: 4kts | HDG: 360° | PITCH: 0.0°
[12:23:05] [Low] [Telemetry] ALT: 0ft | SPD: 3kts | HDG: 360° | PITCH: 0.0°
[12:23:06] [Low] [Telemetry] ALT: 0ft | SPD: 2kts | HDG: 360° | PITCH: 0.0°
[12:23:07] [Low] [Telemetry] ALT: 0ft | SPD: 2kts | HDG: 360° | PITCH: 0.0°
[12:23:08] [Low] [Telemetry] ALT: 0ft | SPD: 2kts | HDG: 360° | PITCH: 0.0°
[12:23:09] [Low] [Telemetry] ALT: 0ft | SPD: 1kts | HDG: 360° | PITCH: 0.0°
[12:23:10] [Low] [Telemetry] ALT: 0ft | SPD: 1kts | HDG: 360° | PITCH: 0.0°
[12:23:09] [Low] [Telemetry] ALT: 0ft | SPD: 1kts | HDG: 360° | PITCH: 0.0°
[12:23:10] [Low] [Telemetry] ALT: 0ft | SPD: 1kts | HDG: 360° | PITCH: 0.0°
[12:23:11] [Low] [Telemetry] ALT: 0ft | SPD: 1kts | HDG: 360° | PITCH: 0.0°
